"Emissions","type","year"
0.0866494,"NON-ROAD",2008
0.200916,"NON-ROAD",2008
0.00191127,"NON-ROAD",2008
4.56917,"NON-ROAD",2008
0.11621,"NON-ROAD",2008
8.37567e-05,"NON-ROAD",2008
1.51165,"NON-ROAD",2008
0.00153831,"NON-ROAD",2008
0.000153762,"NON-ROAD",2008
0.820862,"NON-ROAD",2008
0.0749155,"NON-ROAD",2008
0.000796642,"NON-ROAD",2008
0.204419,"NON-ROAD",2008
0.00820715,"NON-ROAD",2008
1.68436,"NON-ROAD",2008
0.0209123,"NON-ROAD",2008
0.00055714,"NON-ROAD",2008
0.305771,"NON-ROAD",2008
0.0254166,"NON-ROAD",2008
0.00259443,"NON-ROAD",2008
0.0017168,"NON-ROAD",2008
0.45455,"NON-ROAD",2008
1.48192,"NON-ROAD",2008
0.00107486,"NON-ROAD",2008
0.0608429,"NON-ROAD",2008
0.0940177,"NON-ROAD",2008
0.313024,"NON-ROAD",2008
0.0150928,"NON-ROAD",2008
0.014672,"NON-ROAD",2008
0.0087665,"NON-ROAD",2008
0.00108349,"NON-ROAD",2008
0.046894,"NON-ROAD",2008
2.4092,"NON-ROAD",2008
0.00841321,"NON-ROAD",2008
0.00401281,"NON-ROAD",2008
0.0204082,"NON-ROAD",2008
0.0654471,"NON-ROAD",2008
2.90849,"NON-ROAD",2008
0.0770822,"NON-ROAD",2008
0.0155485,"NON-ROAD",2008
0.125289,"NON-ROAD",2008
0.00450448,"NON-ROAD",2008
0.019666,"NON-ROAD",2008
0.531822,"NON-ROAD",2008
1.2491,"NON-ROAD",2008
0.0952252,"NON-ROAD",2008
0.0125521,"NON-ROAD",2008
1.58578,"NON-ROAD",2008
0.0598842,"NON-ROAD",2008
0.0158737,"NON-ROAD",2008
0.0157966,"NON-ROAD",2008
1.97811e-05,"NON-ROAD",2008
0.142838,"NON-ROAD",2008
0.0486615,"NON-ROAD",2008
0.141151,"NON-ROAD",2008
0.00491327,"NON-ROAD",2008
0.0117598,"NON-ROAD",2008
1.11057,"NON-ROAD",2008
2.17321,"NON-ROAD",2008
7.86171e-05,"NON-ROAD",2008
0.135221,"NON-ROAD",2008
6.90541,"NON-ROAD",2008
0.182026,"NON-ROAD",2008
0.00294141,"NON-ROAD",2008
0.103889,"NON-ROAD",2008
0.1576,"NON-ROAD",2008
0.0629355,"NON-ROAD",2008
0.000776083,"NON-ROAD",2008
0.0947088,"NON-ROAD",2008
0.0497555,"NON-ROAD",2008
1.13555,"NON-ROAD",2008
0.010115,"NON-ROAD",2008
0.0712288,"NON-ROAD",2008
0.0343356,"NON-ROAD",2008
0.000630629,"NON-ROAD",2008
1.28743,"NON-ROAD",2008
0.00524216,"NON-ROAD",2008
0.00044427,"NON-ROAD",2008
1.08811,"NON-ROAD",2008
0.000580364,"NON-ROAD",2008
0.0167758,"NON-ROAD",2008
