"Emissions","type","year"
0.0074050226,"ON-ROAD",2002
0.0027793076,"ON-ROAD",2002
0.26,"ON-ROAD",2002
0.0010490028,"ON-ROAD",2002
0.0003937194,"ON-ROAD",2002
0.03,"ON-ROAD",2002
0.0088465651,"ON-ROAD",2002
0.0033203542,"ON-ROAD",2002
0.32,"ON-ROAD",2002
0.0055301757,"ON-ROAD",2002
0.0020756239,"ON-ROAD",2002
0.2,"ON-ROAD",2002
0.0016452944,"ON-ROAD",2002
0.0006175233,"ON-ROAD",2002
0.05,"ON-ROAD",2002
0.0026321185,"ON-ROAD",2002
0.000987905,"ON-ROAD",2002
0.09,"ON-ROAD",2002
0.0001158591,"ON-ROAD",2002
4.34206e-05,"ON-ROAD",2002
0.0031952443,"ON-ROAD",2002
0.0001737593,"ON-ROAD",2002
6.512e-05,"ON-ROAD",2002
0.0047920388,"ON-ROAD",2002
5.5784e-05,"ON-ROAD",2002
2.09062e-05,"ON-ROAD",2002
0.0015384262,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.81,"ON-ROAD",2002
0.0042095644,"ON-ROAD",2002
0.0015775673,"ON-ROAD",2002
0.11,"ON-ROAD",2002
0.03,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.97,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.0083107536,"ON-ROAD",2002
0.61,"ON-ROAD",2002
0.0065997062,"ON-ROAD",2002
0.0024732855,"ON-ROAD",2002
0.18,"ON-ROAD",2002
0.0072090416,"ON-ROAD",2002
0.0027016382,"ON-ROAD",2002
0.19,"ON-ROAD",2002
0.0001416678,"ON-ROAD",2002
5.30984e-05,"ON-ROAD",2002
0.0044746195,"ON-ROAD",2002
0.0001910663,"ON-ROAD",2002
7.16135e-05,"ON-ROAD",2002
0.0060348856,"ON-ROAD",2002
5.79844e-05,"ON-ROAD",2002
2.17331e-05,"ON-ROAD",2002
0.0018314549,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.89,"ON-ROAD",2002
0.0020949614,"ON-ROAD",2002
0.0007852185,"ON-ROAD",2002
0.06,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.87,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0057958161,"ON-ROAD",2002
0.48,"ON-ROAD",2002
0.0053361402,"ON-ROAD",2002
0.0020000553,"ON-ROAD",2002
0.16,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.00454558,"ON-ROAD",2002
0.38,"ON-ROAD",2002
